,Date image,no-data: 0,non-water: 1,water: 2
0,1987_12_01_training_r14,0,483876,15934
1,1988_01_01_training_r14,0,260161,236740
2,1988_02_01_training_r14,0,349400,147907
3,1988_03_01_training_r14,0,500000,0
4,1988_04_01_training_r14,0,249686,245846
5,1988_05_01_training_r14,0,500000,0
6,1988_06_01_training_r14,0,500000,0
7,1988_07_01_training_r14,0,500000,0
8,1988_08_01_training_r14,0,500000,0
9,1988_09_01_training_r14,0,500000,0
10,1988_10_01_training_r14,0,250946,241131
11,1988_11_01_training_r14,0,251842,241736
12,1988_12_01_training_r14,0,292982,202261
13,1989_01_01_training_r14,0,500000,0
14,1989_02_01_training_r14,0,253259,243336
15,1989_03_01_training_r14,0,253407,243432
16,1989_04_01_training_r14,0,500000,0
17,1989_05_01_training_r14,0,249630,245215
18,1989_06_01_training_r14,0,500000,0
19,1989_07_01_training_r14,0,500000,0
20,1989_08_01_training_r14,0,500000,0
21,1989_09_01_training_r14,0,500000,0
22,1989_10_01_training_r14,0,500000,0
23,1989_11_01_training_r14,0,250796,242810
24,1989_12_01_training_r14,0,314015,180865
25,1990_01_01_training_r14,0,293585,202134
26,1990_02_01_training_r14,0,256339,240266
27,1990_03_01_training_r14,0,253949,241642
28,1990_04_01_training_r14,0,249630,244618
29,1990_05_01_training_r14,0,447319,52368
30,1990_06_01_training_r14,0,274317,217868
31,1990_07_01_training_r14,0,500000,0
32,1990_08_01_training_r14,0,500000,0
33,1990_09_01_training_r14,0,500000,0
34,1990_10_01_training_r14,0,500000,0
35,1990_11_01_training_r14,0,257084,237552
36,1990_12_01_training_r14,0,500000,0
37,1991_01_01_training_r14,0,463113,33589
38,1991_02_01_training_r14,0,252320,244489
39,1991_03_01_training_r14,0,249631,246911
40,1991_04_01_training_r14,0,264147,231140
41,1991_05_01_training_r14,0,249630,243870
42,1991_06_01_training_r14,0,500000,0
43,1991_07_01_training_r14,0,500000,0
44,1991_08_01_training_r14,0,500000,0
45,1991_09_01_training_r14,0,285045,212718
46,1991_10_01_training_r14,0,249630,243027
47,1991_11_01_training_r14,0,252615,241698
48,1991_12_01_training_r14,0,390617,105260
49,1992_01_01_training_r14,0,466956,29145
50,1992_02_01_training_r14,0,254105,243160
51,1992_03_01_training_r14,0,251369,246353
52,1992_04_01_training_r14,0,500000,0
53,1992_05_01_training_r14,0,500000,0
54,1992_06_01_training_r14,0,498841,1154
55,1992_07_01_training_r14,0,362994,129035
56,1992_08_01_training_r14,0,500000,0
57,1992_09_01_training_r14,0,500000,0
58,1992_10_01_training_r14,0,500000,0
59,1992_11_01_training_r14,0,270063,223252
60,1992_12_01_training_r14,0,286987,207576
61,1993_01_01_training_r14,0,255433,241219
62,1993_02_01_training_r14,0,261534,235782
63,1993_03_01_training_r14,0,500000,0
64,1993_04_01_training_r14,0,500000,0
65,1993_05_01_training_r14,0,249630,243945
66,1993_06_01_training_r14,0,288489,210396
67,1993_07_01_training_r14,0,500000,0
68,1993_08_01_training_r14,0,493015,6145
69,1993_09_01_training_r14,0,498916,1084
70,1993_10_01_training_r14,0,249660,239205
71,1993_11_01_training_r14,0,291912,201019
