,Date image,no-data: 0,non-water: 1,water: 2
0,1987_12_01_training_r29,0,87882,378885
1,1988_01_01_training_r29,0,75009,399935
2,1988_02_01_training_r29,0,4504,472056
3,1988_03_01_training_r29,0,456249,36507
4,1988_04_01_training_r29,0,116711,362261
5,1988_05_01_training_r29,0,498912,1088
6,1988_06_01_training_r29,0,500000,0
7,1988_07_01_training_r29,0,445498,30606
8,1988_08_01_training_r29,0,398181,65527
9,1988_09_01_training_r29,0,41262,378280
10,1988_10_01_training_r29,0,379887,119856
11,1988_11_01_training_r29,0,500000,0
12,1988_12_01_training_r29,0,476276,22689
13,1989_01_01_training_r29,0,278967,219287
14,1989_02_01_training_r29,0,22235,455673
15,1989_03_01_training_r29,0,1261,477641
16,1989_04_01_training_r29,0,3,479818
17,1989_05_01_training_r29,0,149112,331673
18,1989_06_01_training_r29,0,24663,452700
19,1989_07_01_training_r29,0,500000,0
20,1989_08_01_training_r29,0,500000,0
21,1989_09_01_training_r29,0,500000,0
22,1989_10_01_training_r29,0,500000,0
23,1989_11_01_training_r29,0,12098,450944
24,1989_12_01_training_r29,0,324459,146469
25,1990_01_01_training_r29,0,23301,453778
26,1990_02_01_training_r29,0,168833,315999
27,1990_03_01_training_r29,0,2998,474486
28,1990_04_01_training_r29,0,490428,9572
29,1990_05_01_training_r29,0,347312,152668
30,1990_06_01_training_r29,0,500000,0
31,1990_07_01_training_r29,0,500000,0
32,1990_08_01_training_r29,0,251073,161108
33,1990_09_01_training_r29,0,499938,62
34,1990_10_01_training_r29,0,470497,26634
35,1990_11_01_training_r29,0,500000,0
36,1990_12_01_training_r29,0,373600,100293
37,1991_01_01_training_r29,0,30660,440286
38,1991_02_01_training_r29,0,496839,3161
39,1991_03_01_training_r29,0,1353,475848
40,1991_04_01_training_r29,0,486198,13581
41,1991_05_01_training_r29,0,1279,475462
42,1991_06_01_training_r29,0,488299,11045
43,1991_07_01_training_r29,0,500000,0
44,1991_08_01_training_r29,0,495759,4088
45,1991_09_01_training_r29,0,500000,0
46,1991_10_01_training_r29,0,470420,26975
47,1991_11_01_training_r29,0,290451,181008
48,1991_12_01_training_r29,0,500000,0
49,1992_01_01_training_r29,0,376991,93761
50,1992_02_01_training_r29,0,127127,350889
51,1992_03_01_training_r29,0,2373,476809
52,1992_04_01_training_r29,0,232,479204
53,1992_05_01_training_r29,0,444960,52412
54,1992_06_01_training_r29,0,3092,475681
55,1992_07_01_training_r29,0,499214,45
56,1992_08_01_training_r29,0,138662,283299
57,1992_09_01_training_r29,0,473448,20838
58,1992_10_01_training_r29,0,453490,41558
59,1992_11_01_training_r29,0,5810,457318
60,1992_12_01_training_r29,0,237141,230125
61,1993_01_01_training_r29,0,296738,202752
62,1993_02_01_training_r29,0,500000,0
63,1993_03_01_training_r29,0,492071,7928
64,1993_04_01_training_r29,0,386098,113901
65,1993_05_01_training_r29,0,443098,54910
66,1993_06_01_training_r29,0,19146,452123
67,1993_07_01_training_r29,0,499394,605
68,1993_08_01_training_r29,0,500000,0
69,1993_09_01_training_r29,0,500000,0
70,1993_10_01_training_r29,0,287663,175847
71,1993_11_01_training_r29,0,88930,360225
72,1993_12_01_training_r29,0,138362,324802
73,1994_01_01_training_r29,0,500000,0
74,1994_02_01_training_r29,0,5999,468114
75,1994_03_01_training_r29,0,500000,0
76,1994_04_01_training_r29,0,500000,0
77,1994_05_01_training_r29,0,86418,395943
78,1994_06_01_training_r29,0,500000,0
79,1994_07_01_training_r29,0,418192,80268
80,1994_08_01_training_r29,0,493827,2378
81,1994_09_01_training_r29,0,343330,81847
82,1994_10_01_training_r29,0,36201,416631
83,1994_11_01_training_r29,0,12452,448059
84,1994_12_01_training_r29,0,360583,107002
85,1995_01_01_training_r29,0,485822,13833
86,1995_02_01_training_r29,0,5566,470314
87,1995_03_01_training_r29,0,2666,475329
88,1995_04_01_training_r29,0,500000,0
89,1995_05_01_training_r29,0,500000,0
90,1995_06_01_training_r29,0,500000,0
91,1995_07_01_training_r29,0,500000,0
92,1995_08_01_training_r29,0,500000,0
93,1995_09_01_training_r29,0,500000,0
94,1995_10_01_training_r29,0,16402,436693
95,1995_11_01_training_r29,0,47502,414814
96,1995_12_01_training_r29,0,500000,0
97,1996_01_01_training_r29,0,500000,0
98,1996_02_01_training_r29,0,500000,0
99,1996_03_01_training_r29,0,131999,353680
100,1996_04_01_training_r29,0,500000,0
101,1996_05_01_training_r29,0,500000,0
102,1996_06_01_training_r29,0,500000,0
103,1996_07_01_training_r29,0,484050,3428
104,1996_08_01_training_r29,0,500000,0
105,1996_09_01_training_r29,0,494195,185
106,1996_10_01_training_r29,0,285,431024
107,1996_11_01_training_r29,0,16932,443616
108,1996_12_01_training_r29,0,220759,247753
109,1997_01_01_training_r29,0,29861,445116
110,1997_02_01_training_r29,0,500000,0
111,1997_03_01_training_r29,0,500000,0
112,1997_04_01_training_r29,0,500000,0
113,1997_05_01_training_r29,0,500000,0
114,1997_06_01_training_r29,0,500000,0
115,1997_07_01_training_r29,0,500000,0
116,1997_08_01_training_r29,0,500000,0
117,1997_09_01_training_r29,0,500000,0
118,1997_10_01_training_r29,0,500000,0
119,1997_11_01_training_r29,0,500000,0
