,Date image,no-data: 0,non-water: 1,water: 2
0,1987_12_01_training_r17,0,500000,0
1,1988_01_01_training_r17,0,263858,230455
2,1988_02_01_training_r17,0,362706,132663
3,1988_03_01_training_r17,0,500000,0
4,1988_04_01_training_r17,0,250187,242197
5,1988_05_01_training_r17,0,500000,0
6,1988_06_01_training_r17,0,500000,0
7,1988_07_01_training_r17,0,500000,0
8,1988_08_01_training_r17,0,500000,0
9,1988_09_01_training_r17,0,500000,0
10,1988_10_01_training_r17,0,250235,236178
11,1988_11_01_training_r17,0,251960,236083
12,1988_12_01_training_r17,0,278843,212035
13,1989_01_01_training_r17,0,500000,0
14,1989_02_01_training_r17,0,255128,238564
15,1989_03_01_training_r17,0,258680,235344
16,1989_04_01_training_r17,0,500000,0
17,1989_05_01_training_r17,0,250053,241899
18,1989_06_01_training_r17,0,500000,0
19,1989_07_01_training_r17,0,500000,0
20,1989_08_01_training_r17,0,500000,0
21,1989_09_01_training_r17,0,500000,0
22,1989_10_01_training_r17,0,500000,0
23,1989_11_01_training_r17,0,252695,233595
24,1989_12_01_training_r17,0,296104,192488
25,1990_01_01_training_r17,0,315852,175885
26,1990_02_01_training_r17,0,452326,42506
27,1990_03_01_training_r17,0,255339,235242
28,1990_04_01_training_r17,0,250053,239392
29,1990_05_01_training_r17,0,292740,198462
30,1990_06_01_training_r17,0,301604,186560
31,1990_07_01_training_r17,0,500000,0
32,1990_08_01_training_r17,0,500000,0
33,1990_09_01_training_r17,0,500000,0
34,1990_10_01_training_r17,0,500000,0
35,1990_11_01_training_r17,0,257390,231069
36,1990_12_01_training_r17,0,500000,0
37,1991_01_01_training_r17,0,456407,36962
38,1991_02_01_training_r17,0,254075,238504
39,1991_03_01_training_r17,0,250053,241685
40,1991_04_01_training_r17,0,250153,240293
41,1991_05_01_training_r17,0,250053,239703
42,1991_06_01_training_r17,0,500000,0
43,1991_07_01_training_r17,0,500000,0
44,1991_08_01_training_r17,0,500000,0
45,1991_09_01_training_r17,0,266914,223539
46,1991_10_01_training_r17,0,250067,238980
47,1991_11_01_training_r17,0,253514,237456
48,1991_12_01_training_r17,0,388110,104397
49,1992_01_01_training_r17,0,472419,20812
50,1992_02_01_training_r17,0,257642,237690
51,1992_03_01_training_r17,0,257187,239221
52,1992_04_01_training_r17,0,500000,0
53,1992_05_01_training_r17,0,500000,0
54,1992_06_01_training_r17,0,500000,0
55,1992_07_01_training_r17,0,493821,4770
56,1992_08_01_training_r17,0,500000,0
57,1992_09_01_training_r17,0,500000,0
58,1992_10_01_training_r17,0,500000,0
59,1992_11_01_training_r17,0,280303,209654
60,1992_12_01_training_r17,0,278202,211685
61,1993_01_01_training_r17,0,262770,230114
62,1993_02_01_training_r17,0,285047,209466
63,1993_03_01_training_r17,0,500000,0
64,1993_04_01_training_r17,0,500000,0
65,1993_05_01_training_r17,0,250320,240168
66,1993_06_01_training_r17,0,320513,178629
67,1993_07_01_training_r17,0,500000,0
68,1993_08_01_training_r17,0,459813,35835
69,1993_09_01_training_r17,0,500000,0
70,1993_10_01_training_r17,0,252987,228693
71,1993_11_01_training_r17,0,318465,169557
72,1993_12_01_training_r17,0,369796,120682
73,1994_01_01_training_r17,0,453470,38331
74,1994_02_01_training_r17,0,282886,210210
75,1994_03_01_training_r17,0,500000,0
76,1994_04_01_training_r17,0,421700,73508
77,1994_05_01_training_r17,0,500000,0
78,1994_06_01_training_r17,0,500000,0
79,1994_07_01_training_r17,0,455845,40240
80,1994_08_01_training_r17,0,500000,0
81,1994_09_01_training_r17,0,500000,0
82,1994_10_01_training_r17,0,250053,233091
83,1994_11_01_training_r17,0,500000,0
84,1994_12_01_training_r17,0,261129,230687
85,1995_01_01_training_r17,0,500000,0
86,1995_02_01_training_r17,0,500000,0
87,1995_03_01_training_r17,0,259532,236001
88,1995_04_01_training_r17,0,500000,0
89,1995_05_01_training_r17,0,500000,0
90,1995_06_01_training_r17,0,500000,0
91,1995_07_01_training_r17,0,500000,0
92,1995_08_01_training_r17,0,500000,0
93,1995_09_01_training_r17,0,500000,0
94,1995_10_01_training_r17,0,500000,0
95,1995_11_01_training_r17,0,252034,236981
96,1995_12_01_training_r17,0,500000,0
97,1996_01_01_training_r17,0,257688,232373
98,1996_02_01_training_r17,0,500000,0
99,1996_03_01_training_r17,0,500000,0
100,1996_04_01_training_r17,0,500000,0
101,1996_05_01_training_r17,0,500000,0
102,1996_06_01_training_r17,0,500000,0
103,1996_07_01_training_r17,0,499951,0
104,1996_08_01_training_r17,0,500000,0
105,1996_09_01_training_r17,0,500000,0
