,Date image,no-data: 0,non-water: 1,water: 2
0,1987_12_01_training_r33,0,78749,369559
1,1988_01_01_training_r33,0,463467,35374
2,1988_02_01_training_r33,0,21905,438184
3,1988_03_01_training_r33,0,6248,455726
4,1988_04_01_training_r33,0,6,464925
5,1988_05_01_training_r33,0,500000,0
6,1988_06_01_training_r33,0,500000,0
7,1988_07_01_training_r33,0,500000,0
8,1988_08_01_training_r33,0,492373,1751
9,1988_09_01_training_r33,0,68706,291669
10,1988_10_01_training_r33,0,1153,418360
11,1988_11_01_training_r33,0,500000,0
12,1988_12_01_training_r33,0,20360,429827
13,1989_01_01_training_r33,0,500000,0
14,1989_02_01_training_r33,0,500000,0
15,1989_03_01_training_r33,0,212,466572
16,1989_04_01_training_r33,0,548,467293
17,1989_05_01_training_r33,0,0,464863
18,1989_06_01_training_r33,0,67553,393093
19,1989_07_01_training_r33,0,500000,0
20,1989_08_01_training_r33,0,500000,0
21,1989_09_01_training_r33,0,500000,0
22,1989_10_01_training_r33,0,500000,0
23,1989_11_01_training_r33,0,2339,436691
24,1989_12_01_training_r33,0,40370,411908
25,1990_01_01_training_r33,0,58334,398082
26,1990_02_01_training_r33,0,23349,440165
27,1990_03_01_training_r33,0,3675,459224
28,1990_04_01_training_r33,0,1203,464878
29,1990_05_01_training_r33,0,500000,0
30,1990_06_01_training_r33,0,500000,0
31,1990_07_01_training_r33,0,500000,0
32,1990_08_01_training_r33,0,500000,0
33,1990_09_01_training_r33,0,494337,5224
34,1990_10_01_training_r33,0,3188,419953
35,1990_11_01_training_r33,0,500000,0
36,1990_12_01_training_r33,0,65766,388174
37,1991_01_01_training_r33,0,59759,396351
38,1991_02_01_training_r33,0,19795,441907
39,1991_03_01_training_r33,0,14459,450423
40,1991_04_01_training_r33,0,1776,461965
41,1991_05_01_training_r33,0,500000,0
42,1991_06_01_training_r33,0,484285,4534
43,1991_07_01_training_r33,0,500000,0
44,1991_08_01_training_r33,0,89354,348276
45,1991_09_01_training_r33,0,500000,0
46,1991_10_01_training_r33,0,13141,420105
47,1991_11_01_training_r33,0,94442,360253
