,Date image,no-data: 0,non-water: 1,water: 2
0,1987_12_01_training_r34,0,278132,193554
1,1988_01_01_training_r34,0,500000,0
2,1988_02_01_training_r34,0,264029,213041
3,1988_03_01_training_r34,0,252890,225688
4,1988_04_01_training_r34,0,249630,230439
5,1988_05_01_training_r34,0,500000,0
6,1988_06_01_training_r34,0,500000,0
7,1988_07_01_training_r34,0,500000,0
8,1988_08_01_training_r34,0,483772,1100
9,1988_09_01_training_r34,0,289402,130510
10,1988_10_01_training_r34,0,250089,208240
11,1988_11_01_training_r34,0,500000,0
12,1988_12_01_training_r34,0,257463,214861
13,1989_01_01_training_r34,0,500000,0
14,1989_02_01_training_r34,0,500000,0
15,1989_03_01_training_r34,0,249809,230276
16,1989_04_01_training_r34,0,249940,230565
17,1989_05_01_training_r34,0,249630,229565
18,1989_06_01_training_r34,0,303089,173768
19,1989_07_01_training_r34,0,500000,0
20,1989_08_01_training_r34,0,500000,0
21,1989_09_01_training_r34,0,500000,0
22,1989_10_01_training_r34,0,500000,0
23,1989_11_01_training_r34,0,255898,208338
24,1989_12_01_training_r34,0,262074,209676
25,1990_01_01_training_r34,0,267431,206677
26,1990_02_01_training_r34,0,266261,211363
27,1990_03_01_training_r34,0,251445,226086
28,1990_04_01_training_r34,0,250298,229622
29,1990_05_01_training_r34,0,500000,0
30,1990_06_01_training_r34,0,500000,0
31,1990_07_01_training_r34,0,500000,0
32,1990_08_01_training_r34,0,500000,0
33,1990_09_01_training_r34,0,492720,4557
34,1990_10_01_training_r34,0,253384,201827
35,1990_11_01_training_r34,0,500000,0
36,1990_12_01_training_r34,0,271325,202804
37,1991_01_01_training_r34,0,273398,201367
38,1991_02_01_training_r34,0,261083,216462
39,1991_03_01_training_r34,0,260000,219439
40,1991_04_01_training_r34,0,250405,228846
41,1991_05_01_training_r34,0,500000,0
42,1991_06_01_training_r34,0,474593,9065
43,1991_07_01_training_r34,0,500000,0
44,1991_08_01_training_r34,0,258548,199719
45,1991_09_01_training_r34,0,500000,0
46,1991_10_01_training_r34,0,253016,206926
47,1991_11_01_training_r34,0,279141,194078
48,1991_12_01_training_r34,0,500000,0
49,1992_01_01_training_r34,0,336533,142345
50,1992_02_01_training_r34,0,347095,133845
51,1992_03_01_training_r34,0,276413,207149
52,1992_04_01_training_r34,0,277186,204185
53,1992_05_01_training_r34,0,249630,230275
54,1992_06_01_training_r34,0,257204,224923
55,1992_07_01_training_r34,0,499934,0
56,1992_08_01_training_r34,0,450960,33461
57,1992_09_01_training_r34,0,335014,129662
58,1992_10_01_training_r34,0,250928,217172
59,1992_11_01_training_r34,0,373902,103511
60,1992_12_01_training_r34,0,485446,12199
61,1993_01_01_training_r34,0,350364,133343
62,1993_02_01_training_r34,0,500000,0
63,1993_03_01_training_r34,0,254258,225416
64,1993_04_01_training_r34,0,500000,0
65,1993_05_01_training_r34,0,249914,229490
66,1993_06_01_training_r34,0,500000,0
67,1993_07_01_training_r34,0,500000,0
68,1993_08_01_training_r34,0,500000,0
69,1993_09_01_training_r34,0,500000,0
70,1993_10_01_training_r34,0,250872,212912
71,1993_11_01_training_r34,0,262458,204842
72,1993_12_01_training_r34,0,304675,169938
73,1994_01_01_training_r34,0,500000,0
74,1994_02_01_training_r34,0,500000,0
75,1994_03_01_training_r34,0,500000,0
76,1994_04_01_training_r34,0,500000,0
77,1994_05_01_training_r34,0,500000,0
78,1994_06_01_training_r34,0,500000,0
79,1994_07_01_training_r34,0,500000,0
80,1994_08_01_training_r34,0,283141,154020
81,1994_09_01_training_r34,0,500000,0
82,1994_10_01_training_r34,0,496648,420
83,1994_11_01_training_r34,0,500000,0
84,1994_12_01_training_r34,0,404065,71479
85,1995_01_01_training_r34,0,263402,213652
86,1995_02_01_training_r34,0,291216,188933
87,1995_03_01_training_r34,0,389083,102421
88,1995_04_01_training_r34,0,500000,0
89,1995_05_01_training_r34,0,500000,0
90,1995_06_01_training_r34,0,500000,0
91,1995_07_01_training_r34,0,500000,0
92,1995_08_01_training_r34,0,500000,0
93,1995_09_01_training_r34,0,500000,0
94,1995_10_01_training_r34,0,500000,0
95,1995_11_01_training_r34,0,484053,15021
96,1995_12_01_training_r34,0,500000,0
97,1996_01_01_training_r34,0,500000,0
98,1996_02_01_training_r34,0,500000,0
99,1996_03_01_training_r34,0,500000,0
100,1996_04_01_training_r34,0,500000,0
101,1996_05_01_training_r34,0,500000,0
102,1996_06_01_training_r34,0,500000,0
103,1996_07_01_training_r34,0,499988,0
104,1996_08_01_training_r34,0,500000,0
105,1996_09_01_training_r34,0,426978,22832
106,1996_10_01_training_r34,0,250200,207913
107,1996_11_01_training_r34,0,249704,214608
108,1996_12_01_training_r34,0,500000,0
109,1997_01_01_training_r34,0,500000,0
110,1997_02_01_training_r34,0,500000,0
111,1997_03_01_training_r34,0,406896,79505
112,1997_04_01_training_r34,0,500000,0
113,1997_05_01_training_r34,0,500000,0
