,Date image,no-data: 0,non-water: 1,water: 2
0,1987_12_01_training_r9,0,382811,114293
1,1988_01_01_training_r9,0,500000,0
2,1988_02_01_training_r9,0,500000,0
3,1988_03_01_training_r9,0,500000,0
4,1988_04_01_training_r9,0,500000,0
5,1988_05_01_training_r9,0,500000,0
6,1988_06_01_training_r9,0,249760,244485
7,1988_07_01_training_r9,0,500000,0
8,1988_08_01_training_r9,0,500000,0
9,1988_09_01_training_r9,0,500000,0
10,1988_10_01_training_r9,0,249776,243205
11,1988_11_01_training_r9,0,500000,0
12,1988_12_01_training_r9,0,500000,0
13,1989_01_01_training_r9,0,254247,239176
14,1989_02_01_training_r9,0,500000,0
15,1989_03_01_training_r9,0,251131,245416
16,1989_04_01_training_r9,0,251663,243729
17,1989_05_01_training_r9,0,249760,244288
18,1989_06_01_training_r9,0,500000,0
19,1989_07_01_training_r9,0,500000,0
20,1989_08_01_training_r9,0,500000,0
21,1989_09_01_training_r9,0,500000,0
22,1989_10_01_training_r9,0,500000,0
23,1989_11_01_training_r9,0,500000,0
24,1989_12_01_training_r9,0,266603,228335
25,1990_01_01_training_r9,0,265044,230454
26,1990_02_01_training_r9,0,252700,243568
27,1990_03_01_training_r9,0,500000,0
28,1990_04_01_training_r9,0,500000,0
29,1990_05_01_training_r9,0,461615,38385
30,1990_06_01_training_r9,0,251220,241691
31,1990_07_01_training_r9,0,500000,0
32,1990_08_01_training_r9,0,500000,0
33,1990_09_01_training_r9,0,500000,0
34,1990_10_01_training_r9,0,500000,0
35,1990_11_01_training_r9,0,500000,0
36,1990_12_01_training_r9,0,319717,175243
37,1991_01_01_training_r9,0,500000,0
38,1991_02_01_training_r9,0,275609,222015
39,1991_03_01_training_r9,0,266129,230573
40,1991_04_01_training_r9,0,250446,244517
41,1991_05_01_training_r9,0,249760,244570
42,1991_06_01_training_r9,0,500000,0
43,1991_07_01_training_r9,0,500000,0
44,1991_08_01_training_r9,0,500000,0
45,1991_09_01_training_r9,0,500000,0
46,1991_10_01_training_r9,0,500000,0
47,1991_11_01_training_r9,0,500000,0
48,1991_12_01_training_r9,0,390720,105413
49,1992_01_01_training_r9,0,479846,19014
50,1992_02_01_training_r9,0,267458,230755
51,1992_03_01_training_r9,0,500000,0
52,1992_04_01_training_r9,0,463977,36023
53,1992_05_01_training_r9,0,249760,250240
54,1992_06_01_training_r9,0,249760,246022
55,1992_07_01_training_r9,0,500000,0
56,1992_08_01_training_r9,0,500000,0
57,1992_09_01_training_r9,0,500000,0
58,1992_10_01_training_r9,0,500000,0
59,1992_11_01_training_r9,0,254690,238913
60,1992_12_01_training_r9,0,498042,1909
61,1993_01_01_training_r9,0,500000,0
62,1993_02_01_training_r9,0,499125,875
63,1993_03_01_training_r9,0,251661,246457
64,1993_04_01_training_r9,0,500000,0
65,1993_05_01_training_r9,0,500000,0
66,1993_06_01_training_r9,0,500000,0
67,1993_07_01_training_r9,0,500000,0
68,1993_08_01_training_r9,0,500000,0
69,1993_09_01_training_r9,0,431847,62023
70,1993_10_01_training_r9,0,249760,240754
71,1993_11_01_training_r9,0,500000,0
72,1993_12_01_training_r9,0,260238,235190
73,1994_01_01_training_r9,0,450018,48968
74,1994_02_01_training_r9,0,252837,243047
75,1994_03_01_training_r9,0,249895,247129
76,1994_04_01_training_r9,0,500000,0
77,1994_05_01_training_r9,0,500000,0
78,1994_06_01_training_r9,0,459833,40167
79,1994_07_01_training_r9,0,500000,0
80,1994_08_01_training_r9,0,500000,0
81,1994_09_01_training_r9,0,250305,240373
82,1994_10_01_training_r9,0,251253,243355
83,1994_11_01_training_r9,0,256913,238104
84,1994_12_01_training_r9,0,432200,66074
85,1995_01_01_training_r9,0,500000,0
86,1995_02_01_training_r9,0,256766,240269
87,1995_03_01_training_r9,0,250116,247336
88,1995_04_01_training_r9,0,500000,0
89,1995_05_01_training_r9,0,500000,0
90,1995_06_01_training_r9,0,500000,0
91,1995_07_01_training_r9,0,500000,0
92,1995_08_01_training_r9,0,500000,0
93,1995_09_01_training_r9,0,500000,0
94,1995_10_01_training_r9,0,500000,0
95,1995_11_01_training_r9,0,500000,0
96,1995_12_01_training_r9,0,256016,238776
97,1996_01_01_training_r9,0,483365,12870
98,1996_02_01_training_r9,0,385428,109562
99,1996_03_01_training_r9,0,500000,0
100,1996_04_01_training_r9,0,500000,0
101,1996_05_01_training_r9,0,500000,0
102,1996_06_01_training_r9,0,500000,0
103,1996_07_01_training_r9,0,296285,192534
104,1996_08_01_training_r9,0,500000,0
105,1996_09_01_training_r9,0,258727,230414
106,1996_10_01_training_r9,0,249769,240904
107,1996_11_01_training_r9,0,257590,234343
108,1996_12_01_training_r9,0,257090,236919
109,1997_01_01_training_r9,0,466892,29193
110,1997_02_01_training_r9,0,253992,242814
111,1997_03_01_training_r9,0,249958,247339
112,1997_04_01_training_r9,0,500000,0
113,1997_05_01_training_r9,0,500000,0
114,1997_06_01_training_r9,0,500000,0
115,1997_07_01_training_r9,0,500000,0
116,1997_08_01_training_r9,0,500000,0
117,1997_09_01_training_r9,0,500000,0
118,1997_10_01_training_r9,0,500000,0
119,1997_11_01_training_r9,0,500000,0
120,1997_12_01_training_r9,0,500000,0
121,1998_01_01_training_r9,0,500000,0
122,1998_02_01_training_r9,0,500000,0
123,1998_03_01_training_r9,0,500000,0
124,1998_04_01_training_r9,0,500000,0
125,1998_05_01_training_r9,0,500000,0
126,1998_06_01_training_r9,0,500000,0
127,1998_07_01_training_r9,0,500000,0
128,1998_08_01_training_r9,0,500000,0
129,1998_09_01_training_r9,0,491720,6912
130,1998_10_01_training_r9,0,500000,0
131,1998_11_01_training_r9,0,500000,0
132,1998_12_01_training_r9,0,500000,0
133,1999_01_01_training_r9,0,500000,0
134,1999_02_01_training_r9,0,500000,0
135,1999_03_01_training_r9,0,500000,0
136,1999_04_01_training_r9,0,500000,0
137,1999_05_01_training_r9,0,500000,0
138,1999_06_01_training_r9,0,500000,0
139,1999_07_01_training_r9,0,277136,222504
140,1999_08_01_training_r9,0,500000,0
141,1999_09_01_training_r9,0,500000,0
142,1999_10_01_training_r9,0,251334,236100
143,1999_11_01_training_r9,0,500000,0
144,1999_12_01_training_r9,0,397588,97807
145,2000_01_01_training_r9,0,500000,0
146,2000_02_01_training_r9,0,253256,243426
147,2000_03_01_training_r9,0,249945,247242
148,2000_04_01_training_r9,0,500000,0
149,2000_05_01_training_r9,0,270335,229665
150,2000_06_01_training_r9,0,500000,0
151,2000_07_01_training_r9,0,500000,0
152,2000_08_01_training_r9,0,500000,0
153,2000_09_01_training_r9,0,350204,137482
154,2000_10_01_training_r9,0,249770,239800
155,2000_11_01_training_r9,0,391455,101750
156,2000_12_01_training_r9,0,500000,0
157,2001_01_01_training_r9,0,500000,0
158,2001_02_01_training_r9,0,254016,243119
159,2001_03_01_training_r9,0,500000,0
160,2001_04_01_training_r9,0,249760,248699
161,2001_05_01_training_r9,0,500000,0
162,2001_06_01_training_r9,0,500000,0
163,2001_07_01_training_r9,0,478791,18826
164,2001_08_01_training_r9,0,436891,49901
165,2001_09_01_training_r9,0,249760,240112
166,2001_10_01_training_r9,0,500000,0
167,2001_11_01_training_r9,0,500000,0
168,2001_12_01_training_r9,0,406085,89764
169,2002_01_01_training_r9,0,500000,0
170,2002_02_01_training_r9,0,262951,232645
171,2002_03_01_training_r9,0,250243,246862
172,2002_04_01_training_r9,0,500000,0
173,2002_05_01_training_r9,0,500000,0
174,2002_06_01_training_r9,0,249760,243771
175,2002_07_01_training_r9,0,500000,0
176,2002_08_01_training_r9,0,472028,21588
177,2002_09_01_training_r9,0,387574,105109
178,2002_10_01_training_r9,0,250369,241516
179,2002_11_01_training_r9,0,500000,0
180,2002_12_01_training_r9,0,409591,86841
181,2003_01_01_training_r9,0,500000,0
182,2003_02_01_training_r9,0,255397,241658
183,2003_03_01_training_r9,0,249981,247481
184,2003_04_01_training_r9,0,500000,0
185,2003_05_01_training_r9,0,249760,249520
186,2003_06_01_training_r9,0,500000,0
187,2003_07_01_training_r9,0,342267,144229
188,2003_08_01_training_r9,0,500000,0
189,2003_09_01_training_r9,0,500000,0
190,2003_10_01_training_r9,0,280536,209220
191,2003_11_01_training_r9,0,316296,176629
192,2003_12_01_training_r9,0,481864,18110
193,2004_01_01_training_r9,0,499752,248
194,2004_02_01_training_r9,0,253317,241313
195,2004_03_01_training_r9,0,249760,246992
196,2004_04_01_training_r9,0,249872,247459
197,2004_05_01_training_r9,0,249760,244913
198,2004_06_01_training_r9,0,249835,244650
199,2004_07_01_training_r9,0,486755,12153
200,2004_08_01_training_r9,0,500000,0
201,2004_09_01_training_r9,0,265011,223935
202,2004_10_01_training_r9,0,249927,237609
203,2004_11_01_training_r9,0,265672,225179
204,2004_12_01_training_r9,0,394195,99950
205,2005_01_01_training_r9,0,423015,73123
206,2005_02_01_training_r9,0,251425,244379
207,2005_03_01_training_r9,0,249793,246591
208,2005_04_01_training_r9,0,249760,247344
209,2005_05_01_training_r9,0,249789,245814
210,2005_06_01_training_r9,0,249760,243267
211,2005_07_01_training_r9,0,491623,1236
212,2005_08_01_training_r9,0,500000,0
213,2005_09_01_training_r9,0,500000,0
214,2005_10_01_training_r9,0,249760,231209
215,2005_11_01_training_r9,0,251312,237864
216,2005_12_01_training_r9,0,309669,182673
