,Date image,no-data: 0,non-water: 1,water: 2
0,1987_12_01_training_r22,0,500000,0
1,1988_01_01_training_r22,0,5797,466375
2,1988_02_01_training_r22,0,26364,450782
3,1988_03_01_training_r22,0,7825,468217
4,1988_04_01_training_r22,0,1,479017
5,1988_05_01_training_r22,0,24196,448632
6,1988_06_01_training_r22,0,1942,471428
7,1988_07_01_training_r22,0,500000,0
8,1988_08_01_training_r22,0,500000,0
9,1988_09_01_training_r22,0,18146,406669
10,1988_10_01_training_r22,0,6449,436766
11,1988_11_01_training_r22,0,395184,93559
12,1988_12_01_training_r22,0,500000,0
13,1989_01_01_training_r22,0,252367,220696
14,1989_02_01_training_r22,0,8104,467788
15,1989_03_01_training_r22,0,500000,0
16,1989_04_01_training_r22,0,916,479943
17,1989_05_01_training_r22,0,2,476534
18,1989_06_01_training_r22,0,0,479672
19,1989_07_01_training_r22,0,500000,0
20,1989_08_01_training_r22,0,500000,0
21,1989_09_01_training_r22,0,500000,0
22,1989_10_01_training_r22,0,500000,0
23,1989_11_01_training_r22,0,500000,0
24,1989_12_01_training_r22,0,16143,453792
25,1990_01_01_training_r22,0,23698,454256
26,1990_02_01_training_r22,0,5893,473083
27,1990_03_01_training_r22,0,4255,474156
28,1990_04_01_training_r22,0,381,478780
29,1990_05_01_training_r22,0,1,471711
30,1990_06_01_training_r22,0,38220,435463
31,1990_07_01_training_r22,0,500000,0
32,1990_08_01_training_r22,0,500000,0
33,1990_09_01_training_r22,0,500000,0
34,1990_10_01_training_r22,0,500000,0
35,1990_11_01_training_r22,0,500000,0
36,1990_12_01_training_r22,0,500000,0
37,1991_01_01_training_r22,0,116024,359079
38,1991_02_01_training_r22,0,21161,459453
39,1991_03_01_training_r22,0,85,477416
40,1991_04_01_training_r22,0,212709,270333
41,1991_05_01_training_r22,0,0,473406
42,1991_06_01_training_r22,0,500000,0
43,1991_07_01_training_r22,0,500000,0
44,1991_08_01_training_r22,0,500000,0
45,1991_09_01_training_r22,0,500000,0
46,1991_10_01_training_r22,0,500000,0
47,1991_11_01_training_r22,0,95821,373769
48,1991_12_01_training_r22,0,146031,325448
49,1992_01_01_training_r22,0,292054,180419
50,1992_02_01_training_r22,0,16493,464425
51,1992_03_01_training_r22,0,2156,477611
52,1992_04_01_training_r22,0,412,479337
53,1992_05_01_training_r22,0,20,477136
54,1992_06_01_training_r22,0,500000,0
55,1992_07_01_training_r22,0,17995,455929
56,1992_08_01_training_r22,0,500000,0
57,1992_09_01_training_r22,0,500000,0
