,Date image,no-data: 0,non-water: 1,water: 2
0,1987_12_01_training_r16,0,500000,0
1,1988_01_01_training_r16,0,264156,232113
2,1988_02_01_training_r16,0,369267,127669
3,1988_03_01_training_r16,0,500000,0
4,1988_04_01_training_r16,0,249716,244688
5,1988_05_01_training_r16,0,500000,0
6,1988_06_01_training_r16,0,500000,0
7,1988_07_01_training_r16,0,500000,0
8,1988_08_01_training_r16,0,500000,0
9,1988_09_01_training_r16,0,500000,0
10,1988_10_01_training_r16,0,249791,240582
11,1988_11_01_training_r16,0,253064,238636
12,1988_12_01_training_r16,0,277526,216204
13,1989_01_01_training_r16,0,500000,0
14,1989_02_01_training_r16,0,254051,241346
15,1989_03_01_training_r16,0,255036,240443
16,1989_04_01_training_r16,0,500000,0
17,1989_05_01_training_r16,0,249630,244774
18,1989_06_01_training_r16,0,500000,0
19,1989_07_01_training_r16,0,500000,0
20,1989_08_01_training_r16,0,500000,0
21,1989_09_01_training_r16,0,500000,0
22,1989_10_01_training_r16,0,500000,0
23,1989_11_01_training_r16,0,252097,239583
24,1989_12_01_training_r16,0,294869,198286
25,1990_01_01_training_r16,0,368404,126179
26,1990_02_01_training_r16,0,398733,98244
27,1990_03_01_training_r16,0,255492,238895
28,1990_04_01_training_r16,0,249630,243752
29,1990_05_01_training_r16,0,368765,127981
30,1990_06_01_training_r16,0,308179,183732
31,1990_07_01_training_r16,0,500000,0
32,1990_08_01_training_r16,0,500000,0
33,1990_09_01_training_r16,0,500000,0
34,1990_10_01_training_r16,0,500000,0
35,1990_11_01_training_r16,0,259336,232857
36,1990_12_01_training_r16,0,500000,0
37,1991_01_01_training_r16,0,465153,29956
38,1991_02_01_training_r16,0,253377,241431
39,1991_03_01_training_r16,0,249630,244700
40,1991_04_01_training_r16,0,250007,243649
41,1991_05_01_training_r16,0,249630,242883
42,1991_06_01_training_r16,0,500000,0
43,1991_07_01_training_r16,0,500000,0
44,1991_08_01_training_r16,0,500000,0
45,1991_09_01_training_r16,0,254235,239155
46,1991_10_01_training_r16,0,249630,242124
47,1991_11_01_training_r16,0,252779,240675
48,1991_12_01_training_r16,0,390668,103888
49,1992_01_01_training_r16,0,473514,21204
50,1992_02_01_training_r16,0,254821,241051
51,1992_03_01_training_r16,0,255355,242246
52,1992_04_01_training_r16,0,500000,0
53,1992_05_01_training_r16,0,500000,0
54,1992_06_01_training_r16,0,499666,27
55,1992_07_01_training_r16,0,491509,7705
56,1992_08_01_training_r16,0,500000,0
57,1992_09_01_training_r16,0,500000,0
58,1992_10_01_training_r16,0,500000,0
59,1992_11_01_training_r16,0,282524,210568
60,1992_12_01_training_r16,0,285145,208826
61,1993_01_01_training_r16,0,260936,234890
62,1993_02_01_training_r16,0,274188,222523
63,1993_03_01_training_r16,0,500000,0
64,1993_04_01_training_r16,0,500000,0
65,1993_05_01_training_r16,0,249889,243643
66,1993_06_01_training_r16,0,346190,153776
67,1993_07_01_training_r16,0,500000,0
68,1993_08_01_training_r16,0,409960,84774
69,1993_09_01_training_r16,0,500000,0
70,1993_10_01_training_r16,0,250438,235926
71,1993_11_01_training_r16,0,315149,177096
72,1993_12_01_training_r16,0,363752,130180
73,1994_01_01_training_r16,0,446707,48121
74,1994_02_01_training_r16,0,315271,180564
75,1994_03_01_training_r16,0,500000,0
76,1994_04_01_training_r16,0,381409,114928
77,1994_05_01_training_r16,0,500000,0
78,1994_06_01_training_r16,0,500000,0
79,1994_07_01_training_r16,0,429854,68480
80,1994_08_01_training_r16,0,500000,0
81,1994_09_01_training_r16,0,500000,0
82,1994_10_01_training_r16,0,249630,236650
83,1994_11_01_training_r16,0,500000,0
84,1994_12_01_training_r16,0,264653,230005
85,1995_01_01_training_r16,0,500000,0
86,1995_02_01_training_r16,0,500000,0
87,1995_03_01_training_r16,0,279747,217977
88,1995_04_01_training_r16,0,500000,0
89,1995_05_01_training_r16,0,500000,0
90,1995_06_01_training_r16,0,500000,0
91,1995_07_01_training_r16,0,500000,0
92,1995_08_01_training_r16,0,500000,0
93,1995_09_01_training_r16,0,500000,0
94,1995_10_01_training_r16,0,500000,0
95,1995_11_01_training_r16,0,251460,241238
96,1995_12_01_training_r16,0,500000,0
97,1996_01_01_training_r16,0,257200,235942
98,1996_02_01_training_r16,0,500000,0
99,1996_03_01_training_r16,0,500000,0
100,1996_04_01_training_r16,0,500000,0
101,1996_05_01_training_r16,0,500000,0
102,1996_06_01_training_r16,0,500000,0
103,1996_07_01_training_r16,0,499827,171
104,1996_08_01_training_r16,0,500000,0
105,1996_09_01_training_r16,0,500000,0
106,1996_10_01_training_r16,0,249899,245036
107,1996_11_01_training_r16,0,260322,231822
108,1996_12_01_training_r16,0,324979,169204
109,1997_01_01_training_r16,0,500000,0
110,1997_02_01_training_r16,0,500000,0
111,1997_03_01_training_r16,0,500000,0
112,1997_04_01_training_r16,0,500000,0
113,1997_05_01_training_r16,0,500000,0
114,1997_06_01_training_r16,0,500000,0
115,1997_07_01_training_r16,0,500000,0
116,1997_08_01_training_r16,0,500000,0
117,1997_09_01_training_r16,0,500000,0
118,1997_10_01_training_r16,0,500000,0
119,1997_11_01_training_r16,0,500000,0
120,1997_12_01_training_r16,0,500000,0
121,1998_01_01_training_r16,0,398711,94341
122,1998_02_01_training_r16,0,500000,0
123,1998_03_01_training_r16,0,500000,0
124,1998_04_01_training_r16,0,500000,0
125,1998_05_01_training_r16,0,500000,0
126,1998_06_01_training_r16,0,500000,0
127,1998_07_01_training_r16,0,500000,0
128,1998_08_01_training_r16,0,500000,0
129,1998_09_01_training_r16,0,500000,0
130,1998_10_01_training_r16,0,500000,0
131,1998_11_01_training_r16,0,500000,0
132,1998_12_01_training_r16,0,500000,0
133,1999_01_01_training_r16,0,500000,0
134,1999_02_01_training_r16,0,500000,0
135,1999_03_01_training_r16,0,500000,0
136,1999_04_01_training_r16,0,500000,0
137,1999_05_01_training_r16,0,500000,0
138,1999_06_01_training_r16,0,500000,0
139,1999_07_01_training_r16,0,500000,0
140,1999_08_01_training_r16,0,500000,0
141,1999_09_01_training_r16,0,500000,0
142,1999_10_01_training_r16,0,249632,240524
143,1999_11_01_training_r16,0,500000,0
144,1999_12_01_training_r16,0,288424,205000
145,2000_01_01_training_r16,0,500000,0
146,2000_02_01_training_r16,0,254963,240209
147,2000_03_01_training_r16,0,500000,0
148,2000_04_01_training_r16,0,249669,246064
149,2000_05_01_training_r16,0,500000,0
150,2000_06_01_training_r16,0,500000,0
151,2000_07_01_training_r16,0,500000,0
152,2000_08_01_training_r16,0,482162,17717
153,2000_09_01_training_r16,0,249803,238377
154,2000_10_01_training_r16,0,500000,0
155,2000_11_01_training_r16,0,500000,0
156,2000_12_01_training_r16,0,375102,119827
157,2001_01_01_training_r16,0,500000,0
158,2001_02_01_training_r16,0,259105,237338
159,2001_03_01_training_r16,0,500000,0
160,2001_04_01_training_r16,0,249649,247287
161,2001_05_01_training_r16,0,500000,0
162,2001_06_01_training_r16,0,500000,0
163,2001_07_01_training_r16,0,500000,0
164,2001_08_01_training_r16,0,483796,15297
165,2001_09_01_training_r16,0,301015,186018
166,2001_10_01_training_r16,0,249765,241731
167,2001_11_01_training_r16,0,500000,0
168,2001_12_01_training_r16,0,500000,0
169,2002_01_01_training_r16,0,499974,0
170,2002_02_01_training_r16,0,251106,243007
171,2002_03_01_training_r16,0,500000,0
172,2002_04_01_training_r16,0,500000,0
173,2002_05_01_training_r16,0,254335,242027
174,2002_06_01_training_r16,0,500000,0
175,2002_07_01_training_r16,0,500000,0
176,2002_08_01_training_r16,0,379510,117526
177,2002_09_01_training_r16,0,265661,229833
178,2002_10_01_training_r16,0,500000,0
179,2002_11_01_training_r16,0,252400,240548
180,2002_12_01_training_r16,0,479661,16235
181,2003_01_01_training_r16,0,500000,0
182,2003_02_01_training_r16,0,253076,242342
183,2003_03_01_training_r16,0,251899,243717
184,2003_04_01_training_r16,0,500000,0
185,2003_05_01_training_r16,0,249630,244692
186,2003_06_01_training_r16,0,500000,0
187,2003_07_01_training_r16,0,500000,0
188,2003_08_01_training_r16,0,500000,0
189,2003_09_01_training_r16,0,500000,0
190,2003_10_01_training_r16,0,249631,235420
191,2003_11_01_training_r16,0,261547,229589
192,2003_12_01_training_r16,0,370700,123542
193,2004_01_01_training_r16,0,499195,297
194,2004_02_01_training_r16,0,253998,239830
195,2004_03_01_training_r16,0,249630,246787
196,2004_04_01_training_r16,0,249631,246897
197,2004_05_01_training_r16,0,251486,244957
198,2004_06_01_training_r16,0,251974,241429
199,2004_07_01_training_r16,0,498203,410
200,2004_08_01_training_r16,0,370352,121628
201,2004_09_01_training_r16,0,314783,181147
202,2004_10_01_training_r16,0,249696,240208
203,2004_11_01_training_r16,0,259066,231803
204,2004_12_01_training_r16,0,369314,122161
205,2005_01_01_training_r16,0,268951,225078
206,2005_02_01_training_r16,0,250697,243662
207,2005_03_01_training_r16,0,250691,244751
208,2005_04_01_training_r16,0,249888,246533
209,2005_05_01_training_r16,0,249630,244256
210,2005_06_01_training_r16,0,255891,239891
211,2005_07_01_training_r16,0,305598,181822
212,2005_08_01_training_r16,0,453382,42592
213,2005_09_01_training_r16,0,270056,219066
214,2005_10_01_training_r16,0,249641,239246
215,2005_11_01_training_r16,0,254408,235075
216,2005_12_01_training_r16,0,317845,175504
217,2006_01_01_training_r16,0,436679,58792
218,2006_02_01_training_r16,0,250077,245951
219,2006_03_01_training_r16,0,249969,245802
220,2006_04_01_training_r16,0,249630,245851
221,2006_05_01_training_r16,0,249630,244680
222,2006_06_01_training_r16,0,500000,0
223,2006_07_01_training_r16,0,441775,54322
224,2006_08_01_training_r16,0,389154,110189
225,2006_09_01_training_r16,0,337600,154059
226,2006_10_01_training_r16,0,249630,241390
227,2006_11_01_training_r16,0,251800,240386
228,2006_12_01_training_r16,0,387020,107218
229,2007_01_01_training_r16,0,472909,23222
230,2007_02_01_training_r16,0,253951,242004
231,2007_03_01_training_r16,0,249630,244515
232,2007_04_01_training_r16,0,249630,244915
233,2007_05_01_training_r16,0,249630,244337
234,2007_06_01_training_r16,0,249630,244926
235,2007_07_01_training_r16,0,500000,0
236,2007_08_01_training_r16,0,292701,172462
237,2007_09_01_training_r16,0,249630,228640
238,2007_10_01_training_r16,0,500000,0
239,2007_11_01_training_r16,0,250031,239849
240,2007_12_01_training_r16,0,391414,103365
241,2008_01_01_training_r16,0,321705,174169
242,2008_02_01_training_r16,0,251527,244727
243,2008_03_01_training_r16,0,249712,247490
244,2008_04_01_training_r16,0,249630,247190
245,2008_05_01_training_r16,0,249630,245547
246,2008_06_01_training_r16,0,499971,29
247,2008_07_01_training_r16,0,500000,0
248,2008_08_01_training_r16,0,287139,185314
249,2008_09_01_training_r16,0,392565,97845
250,2008_10_01_training_r16,0,249630,227800
251,2008_11_01_training_r16,0,249725,239416
252,2008_12_01_training_r16,0,467182,27041
253,2009_01_01_training_r16,0,435030,60212
254,2009_02_01_training_r16,0,251876,242813
255,2009_03_01_training_r16,0,249631,245543
256,2009_04_01_training_r16,0,249630,245841
257,2009_05_01_training_r16,0,249630,245164
258,2009_06_01_training_r16,0,249630,246650
259,2009_07_01_training_r16,0,268770,222831
260,2009_08_01_training_r16,0,500000,0
261,2009_09_01_training_r16,0,250590,236287
262,2009_10_01_training_r16,0,249631,225064
263,2009_11_01_training_r16,0,263630,226284
264,2009_12_01_training_r16,0,287581,204578
265,2010_01_01_training_r16,0,500000,0
266,2010_02_01_training_r16,0,251242,244226
267,2010_03_01_training_r16,0,255905,240944
268,2010_04_01_training_r16,0,249630,246435
269,2010_05_01_training_r16,0,249630,244584
270,2010_06_01_training_r16,0,249660,242752
271,2010_07_01_training_r16,0,500000,0
272,2010_08_01_training_r16,0,500000,0
273,2010_09_01_training_r16,0,500000,0
274,2010_10_01_training_r16,0,254228,238450
275,2010_11_01_training_r16,0,254082,237088
276,2010_12_01_training_r16,0,283930,208423
277,2011_01_01_training_r16,0,358842,136239
278,2011_02_01_training_r16,0,294347,201691
279,2011_03_01_training_r16,0,249630,246355
280,2011_04_01_training_r16,0,253601,243071
281,2011_05_01_training_r16,0,249895,243841
282,2011_06_01_training_r16,0,289490,206389
283,2011_07_01_training_r16,0,500000,0
284,2011_08_01_training_r16,0,500000,0
285,2011_09_01_training_r16,0,500000,0
286,2011_10_01_training_r16,0,249635,240460
287,2011_11_01_training_r16,0,371108,121088
288,2011_12_01_training_r16,0,390175,105376
289,2012_01_01_training_r16,0,294922,201155
290,2012_02_01_training_r16,0,475081,23975
291,2012_03_01_training_r16,0,249846,247004
292,2012_04_01_training_r16,0,260242,237102
293,2012_05_01_training_r16,0,249630,245815
294,2012_06_01_training_r16,0,485256,14667
295,2012_07_01_training_r16,0,500000,0
296,2012_08_01_training_r16,0,254913,225575
297,2012_09_01_training_r16,0,287546,194495
298,2012_10_01_training_r16,0,249630,239867
299,2012_11_01_training_r16,0,328851,162831
300,2012_12_01_training_r16,0,500000,0
301,2013_01_01_training_r16,0,484452,10554
302,2013_02_01_training_r16,0,262915,231307
303,2013_03_01_training_r16,0,253153,241065
304,2013_04_01_training_r16,0,249630,244250
305,2013_05_01_training_r16,0,249630,244903
306,2013_06_01_training_r16,0,280113,214205
307,2013_07_01_training_r16,0,489787,4525
308,2013_08_01_training_r16,0,500000,0
309,2013_09_01_training_r16,0,249630,228676
310,2013_10_01_training_r16,0,249696,230906
311,2013_11_01_training_r16,0,252091,236104
312,2013_12_01_training_r16,0,311013,180209
313,2014_01_01_training_r16,0,482687,12908
314,2014_02_01_training_r16,0,254134,239666
315,2014_03_01_training_r16,0,249632,244268
316,2014_04_01_training_r16,0,249630,245365
317,2014_05_01_training_r16,0,249630,245444
318,2014_06_01_training_r16,0,249630,244752
319,2014_07_01_training_r16,0,499180,288
320,2014_08_01_training_r16,0,270135,217480
321,2014_09_01_training_r16,0,307492,184306
322,2014_10_01_training_r16,0,249675,239702
323,2014_11_01_training_r16,0,251094,240172
324,2014_12_01_training_r16,0,491327,8673
325,2015_01_01_training_r16,0,270043,225557
326,2015_02_01_training_r16,0,315017,183907
327,2015_03_01_training_r16,0,249631,243193
328,2015_04_01_training_r16,0,249630,243613
329,2015_05_01_training_r16,0,249630,243763
330,2015_06_01_training_r16,0,249630,243548
331,2015_07_01_training_r16,0,282311,206273
332,2015_08_01_training_r16,0,490581,9120
333,2015_09_01_training_r16,0,274936,220398
334,2015_10_01_training_r16,0,249630,243213
335,2015_11_01_training_r16,0,252350,240908
336,2015_12_01_training_r16,0,258729,234846
337,2016_01_01_training_r16,0,349172,146453
338,2016_02_01_training_r16,0,249817,245936
339,2016_03_01_training_r16,0,249633,247036
340,2016_04_01_training_r16,0,249630,246170
341,2016_05_01_training_r16,0,249630,247277
342,2016_06_01_training_r16,0,249630,245666
343,2016_07_01_training_r16,0,500000,0
344,2016_08_01_training_r16,0,346314,148167
345,2016_09_01_training_r16,0,334226,159482
346,2016_10_01_training_r16,0,249630,240977
347,2016_11_01_training_r16,0,249630,241441
348,2016_12_01_training_r16,0,372513,122240
349,2017_01_01_training_r16,0,251750,243795
350,2017_02_01_training_r16,0,249934,246141
351,2017_03_01_training_r16,0,249630,246779
352,2017_04_01_training_r16,0,249630,245024
353,2017_05_01_training_r16,0,249630,245049
354,2017_06_01_training_r16,0,249630,246047
355,2017_07_01_training_r16,0,385754,98683
356,2017_08_01_training_r16,0,270777,198265
357,2017_09_01_training_r16,0,253215,231473
358,2017_10_01_training_r16,0,249639,240816
359,2017_11_01_training_r16,0,249633,242225
360,2017_12_01_training_r16,0,261366,232410
361,2018_01_01_training_r16,0,464901,30370
362,2018_02_01_training_r16,0,250296,245599
363,2018_03_01_training_r16,0,249630,246925
364,2018_04_01_training_r16,0,249630,246043
365,2018_05_01_training_r16,0,249668,246104
366,2018_06_01_training_r16,0,249630,245340
367,2018_07_01_training_r16,0,385327,110295
368,2018_08_01_training_r16,0,341802,141589
369,2018_09_01_training_r16,0,311617,179455
370,2018_10_01_training_r16,0,249630,241613
371,2018_11_01_training_r16,0,250845,241208
372,2018_12_01_training_r16,0,261964,230499
373,2019_01_01_training_r16,0,463043,31764
374,2019_02_01_training_r16,0,251597,243367
375,2019_03_01_training_r16,0,249630,245958
376,2019_04_01_training_r16,0,249630,243324
377,2019_05_01_training_r16,0,249630,242793
378,2019_06_01_training_r16,0,249642,242800
379,2019_07_01_training_r16,0,250182,228685
380,2019_08_01_training_r16,0,256008,227720
381,2019_09_01_training_r16,0,346379,145965
382,2019_10_01_training_r16,0,255494,232477
383,2019_11_01_training_r16,0,249679,238268
384,2019_12_01_training_r16,0,401029,89382
385,2020_01_01_training_r16,0,481568,11811
386,2020_02_01_training_r16,0,269338,224898
387,2020_03_01_training_r16,0,249687,243126
388,2020_04_01_training_r16,0,249630,243265
389,2020_05_01_training_r16,0,316091,183494
390,2020_06_01_training_r16,0,500000,0
391,2020_07_01_training_r16,0,472525,14390
392,2020_08_01_training_r16,0,334015,139281
393,2020_09_01_training_r16,0,337309,148952
394,2020_10_01_training_r16,0,249630,233929
395,2020_11_01_training_r16,0,250096,238998
396,2020_12_01_training_r16,0,321588,169399
397,2021_01_01_training_r16,0,500000,0
398,2021_02_01_training_r16,0,255883,238644
399,2021_03_01_training_r16,0,249630,245586
400,2021_04_01_training_r16,0,249630,246151
401,2021_05_01_training_r16,0,249630,241536
402,2021_06_01_training_r16,0,251823,237540
403,2021_07_01_training_r16,0,424394,62385
404,2021_08_01_training_r16,0,346872,139517
405,2021_09_01_training_r16,0,250342,214422
406,2021_10_01_training_r16,0,249630,224335
407,2021_11_01_training_r16,0,286059,199351
408,2021_12_01_training_r16,0,332469,157820
