,Date image,no-data: 0,non-water: 1,water: 2
0,1987_12_01_training_r38,0,260980,213625
1,1988_01_01_training_r38,0,420947,72534
2,1988_02_01_training_r38,0,259125,221941
3,1988_03_01_training_r38,0,258433,224912
4,1988_04_01_training_r38,0,250106,234609
5,1988_05_01_training_r38,0,500000,0
6,1988_06_01_training_r38,0,371646,119497
7,1988_07_01_training_r38,0,500000,0
8,1988_08_01_training_r38,0,500000,0
9,1988_09_01_training_r38,0,282688,162256
10,1988_10_01_training_r38,0,250791,210445
11,1988_11_01_training_r38,0,321950,160558
12,1988_12_01_training_r38,0,256172,217152
13,1989_01_01_training_r38,0,335213,152219
14,1989_02_01_training_r38,0,300888,187512
15,1989_03_01_training_r38,0,250223,237505
16,1989_04_01_training_r38,0,250065,238919
17,1989_05_01_training_r38,0,250053,236143
18,1989_06_01_training_r38,0,251627,222323
19,1989_07_01_training_r38,0,500000,0
20,1989_08_01_training_r38,0,500000,0
21,1989_09_01_training_r38,0,500000,0
22,1989_10_01_training_r38,0,434857,53863
23,1989_11_01_training_r38,0,250705,217871
24,1989_12_01_training_r38,0,256824,218240
25,1990_01_01_training_r38,0,256340,221688
26,1990_02_01_training_r38,0,263983,218361
27,1990_03_01_training_r38,0,251511,231854
28,1990_04_01_training_r38,0,250109,236800
29,1990_05_01_training_r38,0,332674,157573
30,1990_06_01_training_r38,0,489820,7570
31,1990_07_01_training_r38,0,500000,0
32,1990_08_01_training_r38,0,500000,0
33,1990_09_01_training_r38,0,499404,301
34,1990_10_01_training_r38,0,250518,210599
35,1990_11_01_training_r38,0,270155,206187
36,1990_12_01_training_r38,0,263010,214886
37,1991_01_01_training_r38,0,291446,187966
38,1991_02_01_training_r38,0,251971,230268
39,1991_03_01_training_r38,0,254144,231932
40,1991_04_01_training_r38,0,250592,235394
41,1991_05_01_training_r38,0,334870,158312
42,1991_06_01_training_r38,0,458878,19760
43,1991_07_01_training_r38,0,383087,99750
44,1991_08_01_training_r38,0,256246,212389
45,1991_09_01_training_r38,0,500000,0
46,1991_10_01_training_r38,0,251105,215131
47,1991_11_01_training_r38,0,260197,212681
48,1991_12_01_training_r38,0,328837,157886
49,1992_01_01_training_r38,0,369570,113087
50,1992_02_01_training_r38,0,329243,156245
51,1992_03_01_training_r38,0,251122,236280
52,1992_04_01_training_r38,0,256911,231021
53,1992_05_01_training_r38,0,268630,219103
54,1992_06_01_training_r38,0,253528,233632
55,1992_07_01_training_r38,0,493122,1
56,1992_08_01_training_r38,0,381623,92985
57,1992_09_01_training_r38,0,383898,87603
58,1992_10_01_training_r38,0,250531,217388
59,1992_11_01_training_r38,0,500000,0
60,1992_12_01_training_r38,0,421808,59912
61,1993_01_01_training_r38,0,268272,213798
62,1993_02_01_training_r38,0,375284,118048
63,1993_03_01_training_r38,0,250936,236268
64,1993_04_01_training_r38,0,500000,0
65,1993_05_01_training_r38,0,250164,234286
66,1993_06_01_training_r38,0,500000,0
67,1993_07_01_training_r38,0,500000,0
68,1993_08_01_training_r38,0,500000,0
69,1993_09_01_training_r38,0,378840,94964
70,1993_10_01_training_r38,0,250263,217073
71,1993_11_01_training_r38,0,294601,178467
72,1993_12_01_training_r38,0,277838,200350
73,1994_01_01_training_r38,0,500000,0
74,1994_02_01_training_r38,0,500000,0
75,1994_03_01_training_r38,0,500000,0
76,1994_04_01_training_r38,0,500000,0
77,1994_05_01_training_r38,0,500000,0
78,1994_06_01_training_r38,0,500000,0
79,1994_07_01_training_r38,0,500000,0
80,1994_08_01_training_r38,0,463668,17109
81,1994_09_01_training_r38,0,500000,0
82,1994_10_01_training_r38,0,432241,55222
83,1994_11_01_training_r38,0,365111,123518
84,1994_12_01_training_r38,0,318904,160511
85,1995_01_01_training_r38,0,261799,221424
86,1995_02_01_training_r38,0,325642,158861
87,1995_03_01_training_r38,0,500000,0
88,1995_04_01_training_r38,0,500000,0
89,1995_05_01_training_r38,0,500000,0
90,1995_06_01_training_r38,0,500000,0
91,1995_07_01_training_r38,0,500000,0
92,1995_08_01_training_r38,0,500000,0
93,1995_09_01_training_r38,0,500000,0
94,1995_10_01_training_r38,0,500000,0
95,1995_11_01_training_r38,0,270760,198732
96,1995_12_01_training_r38,0,500000,0
97,1996_01_01_training_r38,0,500000,0
98,1996_02_01_training_r38,0,500000,0
99,1996_03_01_training_r38,0,500000,0
100,1996_04_01_training_r38,0,500000,0
101,1996_05_01_training_r38,0,500000,0
102,1996_06_01_training_r38,0,500000,0
103,1996_07_01_training_r38,0,492053,3718
104,1996_08_01_training_r38,0,500000,0
105,1996_09_01_training_r38,0,432838,28781
106,1996_10_01_training_r38,0,250813,210930
107,1996_11_01_training_r38,0,251138,215437
108,1996_12_01_training_r38,0,500000,0
109,1997_01_01_training_r38,0,456414,40465
110,1997_02_01_training_r38,0,500000,0
111,1997_03_01_training_r38,0,478982,17711
112,1997_04_01_training_r38,0,500000,0
113,1997_05_01_training_r38,0,500000,0
114,1997_06_01_training_r38,0,500000,0
115,1997_07_01_training_r38,0,500000,0
116,1997_08_01_training_r38,0,500000,0
117,1997_09_01_training_r38,0,500000,0
118,1997_10_01_training_r38,0,500000,0
119,1997_11_01_training_r38,0,500000,0
120,1997_12_01_training_r38,0,500000,0
121,1998_01_01_training_r38,0,500000,0
122,1998_02_01_training_r38,0,500000,0
123,1998_03_01_training_r38,0,500000,0
124,1998_04_01_training_r38,0,500000,0
125,1998_05_01_training_r38,0,500000,0
126,1998_06_01_training_r38,0,500000,0
127,1998_07_01_training_r38,0,500000,0
128,1998_08_01_training_r38,0,500000,0
129,1998_09_01_training_r38,0,500000,0
